"Sample","Latitude","Longitude","Location","Status","Site","Depth","Observer.count","Successful.count","Successful.length","Observer.length","Date.time.utc"
"16.02",-22.11624,113.79192,"Ningaloo Marine Park",NA,"16","145","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:28:00Z"
"16.03",-22.10669,113.7967,"Ningaloo Marine Park",NA,"16","190","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:39:00Z"
"16.04",-22.09742,113.8081,"Ningaloo Marine Park",NA,"16","100","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:48:00Z"
"16.05",-22.0856,113.82563,"Ningaloo Marine Park",NA,"16","85","Charlotte Aston","Yes","Yes",NA,"2019-08-12T03:00:00Z"
"17.08",-22.0943763,113.8193929,"Ningaloo Marine Park",NA,"17","90","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:53:00Z"
"18.01",-22.06954369,113.812266,"Ningaloo Marine Park",NA,"18","91","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:33:00Z"
"18.02",-22.06517499,113.8120284,"Ningaloo Marine Park",NA,"18","91","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:38:00Z"
"18.03",-22.06563485,113.8082274,"Ningaloo Marine Park",NA,"18","117","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:46:00Z"
"18.04",-22.06172601,113.810603,"Ningaloo Marine Park",NA,"18","134","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T04:50:00Z"
"18.07",-22.06264574,113.8281828,"Ningaloo Marine Park",NA,"18","109","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:54:00Z"
"18.08",-22.0725328,113.823194,"Ningaloo Marine Park",NA,"18","96","Charlotte Aston","Yes","Yes",NA,"2019-08-12T04:58:00Z"
"19.01",-22.01347,113.82289,"Ningaloo Marine Park",NA,"19","107","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:42:00Z"
"19.02",-22.00792203,113.821531,"Ningaloo Marine Park",NA,"19","122","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:44:00Z"
"19.03",-22.00286353,113.8305585,"Ningaloo Marine Park",NA,"19","99","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:55:00Z"
"19.04",-22.00056422,113.8255696,"Ningaloo Marine Park",NA,"19","109","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:49:00Z"
"19.05",-21.99757511,113.8291331,"Ningaloo Marine Park",NA,"19","101","Charlotte Aston","Yes","Yes",NA,"2019-08-12T06:59:00Z"
"19.08",-21.99412613,113.8234315,"Ningaloo Marine Park",NA,"19","130","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:03:00Z"
"23.01",-21.68647769,114.0835652,"Ningaloo Marine Park",NA,"23","102","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:22:00Z"
"23.02",-21.68555797,114.0785763,"Ningaloo Marine Park",NA,"23","106","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:28:00Z"
"23.03",-21.68233893,114.0811896,"Ningaloo Marine Park",NA,"23","109","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:31:00Z"
"23.04",-21.67980968,114.0845155,"Ningaloo Marine Park",NA,"23","110","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:35:00Z"
"23.06",-21.67475118,114.0944932,"Ningaloo Marine Park",NA,"23","107","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:46:00Z"
"23.09",-21.706867,114.0747,"Ningaloo Marine Park",NA,"23","67","Charlotte Aston","Yes","Yes",NA,"2019-08-12T05:13:00Z"
"30.01",-21.91122,113.90413,"Ningaloo Marine Park",NA,"30","69","Charlotte Aston","No","No",NA,"2019-08-12T02:04:00Z"
"30.02",-21.90687,113.90722,"Ningaloo Marine Park",NA,"30","69","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:08:00Z"
"30.03",-21.89999,113.91082,"Ningaloo Marine Park",NA,"30","67","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:13:00Z"
"30.04",-21.89513,113.91423,"Ningaloo Marine Park",NA,"30","69","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:16:00Z"
"30.05",-21.88983,113.91801,"Ningaloo Marine Park",NA,"30","68","Charlotte Aston","Yes","Yes",NA,"2019-08-12T02:20:00Z"
"30.06",-21.8876,113.9202,"Ningaloo Marine Park",NA,"30","66","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T02:23:00Z"
"31.01",-21.6873167,114.08985,"Ningaloo Marine Park",NA,"31","77","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:25:00Z"
"31.02",-21.6919667,114.09,"Ningaloo Marine Park",NA,"31","71","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:29:00Z"
"31.03",-21.69445,114.0887667,"Ningaloo Marine Park",NA,"31","66","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:31:00Z"
"31.04",-21.69635,114.0877667,"Ningaloo Marine Park",NA,"31","64","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:34:00Z"
"31.05",-21.70045,114.0814333,"Ningaloo Marine Park",NA,"31","67","Charlotte Aston","Yes","Yes","Charlotte Aston","2019-08-12T07:39:00Z"
"31.06",-21.7025167,114.0774833,"Ningaloo Marine Park",NA,"31","66","Charlotte Aston","Yes","Yes",NA,"2019-08-12T07:45:00Z"
