"campaignid","sample","family","genus","species","length","range","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","ZoneName","longitude","latitude","status"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.82489,"1685.09016","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",124.45513,"1989.62328","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",142.7977,"1850.55649","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",88.89776,"1223.65222","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",105.06287,"2108.14104","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",136.2277,"1901.28800","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",104.81966,"1179.21866","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",139.66559,"1672.49634","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",110.54667,"1806.88386","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",86.17517,"1812.42256","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",106.57231,"1507.53146","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",115.4659,"1902.05692","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",128.86491,"2117.17315","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",141.82933,"1994.14721","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
