Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
203,20210320,16:40:00,17:45:00,-124.89,Tas Fracture (Ref),203,Fished,-43.721635,146.2411244,,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
204,20210321,12:33:00,13:42:00,-140.06,Tas Fracture (Ref),204,Fished,-43.72851162,146.1609274,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
205,20210320,16:50:00,17:54:00,-100.23,Tas Fracture (Ref),205,Fished,-43.71498215,146.2345298,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
206,20210321,14:57:00,15:56:00,-125.53,Tas Fracture (Ref),206,Fished,-43.72313407,146.21774,,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
207,20210321,14:25:00,15:32:00,-130.65,Tas Fracture (Ref),207,Fished,-43.72448877,146.2026996,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
208,20210321,14:37:00,15:43:00,-106.69,Tas Fracture (Ref),208,Fished,-43.72234425,146.2102516,,,,,1260,1261,,,,Shenae,,,Yes,,,Yes,,
209,20210321,14:30:00,15:39:00,-128.13,Tas Fracture (Ref),209,Fished,-43.72561617,146.2068564,"1258 turned off, good lobsters",,,,1258,1259,,,,ashlee b,,,Yes,,,No,,
210,20210321,12:43:00,13:50:00,-135.49,Tas Fracture (Ref),210,Fished,-43.73217881,146.1600567,1259 failed,,,,1258,1259,,,,ashlee b,,,Yes,,,No,,
211,20210321,10:46:00,11:49:00,-108.45,Tas Fracture (Ref),211,Fished,-43.72333785,146.1952161,,,,,1260,1261,,,,ashlee b,,,Yes,,,Yes,,
212,20210321,12:16:00,13:20:00,-139.09,Tas Fracture (Ref),212,Fished,-43.72806294,146.1885722,,,,,282,283,,,,ashlee b,,,Yes,,,Yes,,
213,20210321,12:33:00,13:45:00,-135.29,Tas Fracture (Ref),213,Fished,-43.73035514,146.1618454,,,,,286,287,,,,ashlee b,,,Yes,,,Yes,,
214,20210321,10:41:00,11:45:00,-118.77,Tas Fracture (Ref),214,Fished,-43.72264712,146.202004,,,,,1258,1259,,,,ashlee b,,,Yes,,,Yes,,
215,20210321,12:24:00,13:31:00,-121.85,Tas Fracture (Ref),215,Fished,-43.72499031,146.1819341,,,,,406,407,,,,ashlee b,,,Yes,,,Yes,,
216,20210321,10:58:00,12:07:00,-127.62,Tas Fracture (Ref),216,Fished,-43.72592512,146.1969445,,,,,282,283,,,,Shenae,,,Yes,,,Yes,,
217,20210321,12:56:00,14:03:00,-141.63,Tas Fracture (Ref),217,No-take,-43.73251667,146.18615,,,,,1262,1263,,,,Shenae,,,Yes,,,Yes,,
218,20210320,16:56:00,17:59:00,-101.59,Tas Fracture (Ref),218,Fished,-43.71459469,146.2304632,,,,,1258,1259,,,,ashlee b,,,Yes,,,Yes,,
219,20210321,14:40:00,15:47:00,-119.3,Tas Fracture (Ref),219,Fished,-43.72382638,146.2136587,,,,,406,407,,,,Shenae,,,Yes,,,Yes,,
220,20210320,17:01:00,18:05:00,-104.7,Tas Fracture (Ref),220,Fished,-43.71565364,146.2246152,,,,,1262,1263,,,,ashlee b,,,Yes,,,Yes,,
