sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
12.11,legacy,113.64333,-22.48475,15082019,10:14:00,11:23:00,12,Ningaloo Marine Park,NA,100,Charlotte Aston,20191022,,Yes,Yes,372,371,564,Bouncing. Snapped bait arm,2,2,Yes,Yes,20200305,,NA,
13.02,new,113.7058369,-22.40386419,15082019,12:32:00,13:40:00,13,Ningaloo Marine Park,NA,69,Charlotte Aston,20191024,,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,,NA,
13.03,new,113.7013231,-22.39903562,15082019,12:52:00,13:46:00,13,Ningaloo Marine Park,NA,83,Charlotte Aston,20191114,,Yes,Yes,378,377,423,Pulled 5 mins early,2,2,Yes,Yes,20200305,,NA,
13.04,new,113.6972845,-22.39765604,15082019,12:48:00,14:10:00,13,Ningaloo Marine Park,NA,92,Charlotte Aston,20191024,,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,,NA,
13.05,new,113.6932459,-22.40087508,15082019,12:43:00,14:03:00,13,Ningaloo Marine Park,NA,96,Charlotte Aston,20191028,,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,,NA,
13.06,new,113.6922957,-22.40478391,15082019,12:39:00,13:56:00,13,Ningaloo Marine Park,NA,94.5,Charlotte Aston,20191028,,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,,NA,
13.08,new,113.7039364,-22.39328734,15082019,12:56:00,14:16:00,13,Ningaloo Marine Park,NA,85,Charlotte Aston,20191029,,Yes,Yes,372,371,564,Battery died,2,2,Yes,Yes,20200305,,NA,
14.01,legacy,113.72408,-22.32524,15082019,14:46:00,15:49:00,14,Ningaloo Marine Park,NA,96,Charlotte Aston,20191029,,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,,NA,
14.02,legacy,113.73251,-22.30284,15082019,15:12:00,16:21:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,20191115,,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,,NA,
14.03,legacy,113.74266,-22.27651,15082019,15:25:00,16:39:00,14,Ningaloo Marine Park,NA,109,Charlote Aston,20191115,,No,No ,369,370,422,Flips 15 min in,2,2,Yes,Yes,20200305,,NA,
14.06,legacy,113.79046,-22.17832,16082019,8:12:00,9:16:00,14,Ningaloo Marine Park,NA,100,Charlotte Aston,20191029,,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,,NA,
14.11,new,113.7371667,-22.3266667,15082019,14:53:00,15:58:00,14,Ningaloo Marine Park,NA,75,Charlotte Aston,20191029,,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,,NA,
14.12,new,113.746,-22.3071667,15082019,15:05:00,16:08:00,14,Ningaloo Marine Park,NA,82,Charlotte Aston,20191030,,Yes,Yes,367,368,440,Two dolphin fish at surface at end. Big reds and lots of them,2,2,Yes,Yes,20200305,,NA,
