Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO218,-34.07368897,114.9213721,20201016,12:28:00,C.IO.2,South-west,No-take,46.8,Hayley ,Yes,Yes,Ramesh/Claude
IO222,-34.06618897,114.8313721,20201015,14:54:00,C.IO.4,South-west,No-take,45,Hayley ,Yes,Yes,Ramesh/Claude
IO223,-34.07118897,114.8463721,20201015,14:25:00,C.IO.4,South-west,No-take,42.9,Hayley ,Yes,Yes,Ramesh/Claude
IO224,-34.06118897,114.8388721,20201015,14:35:00,C.IO.4,South-west,No-take,43.6,Hayley ,Yes,Yes,Claude
IO225,-34.07118897,114.8338721,20201015,14:20:00,C.IO.4,South-west,No-take,44.9,Hayley ,Yes,Yes,Claude
IO239,-34.09118897,114.9313721,20201016,12:05:00,C.IO.1,South-west,No-take,45.9,Hayley ,Yes,Yes,Claude
IO73,-34.02868897,114.8588721,20201019,9:22:00,C.IO.60,South-west,Fished,40.4,Ramesh,Yes,No,
IO266,-34.02118897,114.7588721,20201015,8:06:00,C.IO.23,South-west,Fished,67.3,Hayley ,Yes,Yes,Claude
IO325,-33.991557,114.743378,20201015,7:44:00,C.IO.25,South-west,Fished,85,Hayley ,Yes,Yes,Claude
IO327,-34.02946667,114.7623833,20201015,8:17:00,C.IO.23,South-west,Fished,65.4,Hayley ,Yes,Yes,Claude
IO334,-34.06155,114.7753667,20201015,10:11:00,C.IO.8,South-west,No-take,64,Hayley ,Yes,Yes,Claude
IO353,-34.05436667,114.8390667,20201015,14:43:00,C.IO.5,South-west,No-take,44.1,Hayley ,Yes,Yes,Claude
FH16,-33.90118897,114.8563721,20201013,8:02:00,C.FH.19,South-west,Fished,43.1,Hayley ,Yes,No,Rachel
FH25,-33.87868897,114.8163721,20201013,7:34:00,C.FH.16,South-west,Fished,45.4,Hayley ,Yes,Yes,Claude
FH47,-33.90618897,114.8488721,20201013,8:09:00,C.FH.19,South-west,Fished,43.5,Hayley ,Yes,Yes,Claude
