"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"69","Tetraroge alboguttata","Tetraroge","alboguttata",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"70","Tetraroge cristagalli","Tetraroge","cristagalli",NA,"Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"71","Tetraroge taenionotus","Tetraroge","taenionotus","misspelling","Ablabys taenianotus","Ablabys","taenianotus","Tetrarogidae","Tetrarogidae"
"72","Ablenes hians","Ablenes","hians","misspelling","Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"73","Ablennes hians pacificus","Ablennes","hians pacificus","junior synonym","Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"74","Ablennes pacificus","Ablennes","pacificus",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"75","Athlennes hians","Athlennes","hians","misspelling","Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"76","Belone hians","Belone","hians","Original combination","Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"77","Belone maculata","Belone","maculata",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"78","Belone melanostigma","Belone","melanostigma",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"79","Belone schismatorhynchus","Belone","schismatorhynchus",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"80","Blennes hians","Blennes","hians","misspelling","Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"81","Mastaccembelus melanostigma","Mastaccembelus","melanostigma",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"82","Mastacembelus fasciatus","Mastacembelus","fasciatus",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"83","Tylosurus caeruleofasciatus","Tylosurus","caeruleofasciatus",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"84","Tylosurus hians","Tylosurus","hians",NA,"Ablennes hians","Ablennes","hians","Belonidae","Belonidae"
"85","Gobiosoma etheostoma","Gobiosoma","etheostoma","synonym","Aboma etheostoma","Aboma","etheostoma","Gobiidae","Gobiidae"
"86","Gobiosoma polyporosum","Gobiosoma","polyporosum","synonym","Aboma etheostoma","Aboma","etheostoma","Gobiidae","Gobiidae"
"87","Noemacheilus elongatus","Noemacheilus","elongatus","senior synonym","Aborichthys elongatus","Aborichthys","elongatus","Nemacheilidae","Nemacheilidae"
"88","Aborichthys goaensis","Aborichthys","goaensis",NA,"Aborichthys garoensis","Aborichthys","garoensis","Nemacheilidae","Nemacheilidae"
"89","Noemacheilus garoensis","Noemacheilus","garoensis","senior synonym","Aborichthys garoensis","Aborichthys","garoensis","Nemacheilidae","Nemacheilidae"
"90","Noemacheilus kempi","Noemacheilus","kempi",NA,"Aborichthys kempi","Aborichthys","kempi","Nemacheilidae","Nemacheilidae"
"91","Nemacheilus tikaderi","Nemacheilus","tikaderi",NA,"Aborichthys tikaderi","Aborichthys","tikaderi","Nemacheilidae","Nemacheilidae"
"92","Noemacheilus tikaderi","Noemacheilus","tikaderi",NA,"Aborichthys tikaderi","Aborichthys","tikaderi","Nemacheilidae","Nemacheilidae"
"93","Abramis argyreus","Abramis","argyreus",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"94","Abramis brama bergi","Abramis","brama bergi",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"95","Abramis brama danubii","Abramis","brama danubii",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"96","Abramis brama orientalis","Abramis","brama orientalis",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"97","Abramis brama sinegorensis","Abramis","brama sinegorensis",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"98","Abramis gehini","Abramis","gehini",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"99","Abramis media","Abramis","media",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"100","Abramis melaenus","Abramis","melaenus",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"101","Abramis microlepidotus","Abramis","microlepidotus",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"102","Abramis vetula","Abramis","vetula",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"103","Abramis vulgaris","Abramis","vulgaris",NA,"Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"104","Cyprinus brama","Cyprinus","brama","basionym","Abramis brama","Abramis","brama","Cyprinidae","Cyprinidae"
"105","Leporinus eques","Leporinus","eques",NA,"Abramites eques","Abramites","eques","Anostomidae","Anostomidae"
"106","Abramites hypselonotus hypselonotus","Abramites","hypselonotus hypselonotus","senior synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
