Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
IO374,-33.98618897,114.7463721,South-west,Fished,C.IO.25,72.9,Hayley,Yes,Yes,Claude,2020-10-14T23:31:00Z
FH9,-33.90118897,114.8513721,South-west,Fished,C.FH.19,43.6,Hayley,Yes,Yes,Mystery,2020-10-12T23:58:00Z
IO267,-34.02618897,114.7638721,South-west,Fished,C.IO.23,62.5,NA,No,No,NA,2020-10-15T00:11:00Z
FH10,-33.98618897,114.8863721,South-west,Fished,C.FH.24,42.9,Hayley,Yes,Yes,Rachel,2020-10-13T04:32:00Z
FH42,-33.88118897,114.8113721,South-west,Fished,C.FH.16,45.7,Hayley,Yes,Yes,Claude,2020-10-12T23:38:00Z
IO3,-34.07618897,114.7838721,South-west,No-take,C.IO.43,62,Hayley,Yes,Yes,Claude,2020-10-15T04:03:00Z
IO80,-34.09368897,114.8888721,South-west,No-take,C.IO.52,41.6,Hayley,Yes,Yes,Claude,2020-10-16T02:30:00Z
IO81,-34.09868897,114.8913721,South-west,No-take,C.IO.52,42,Hayley,Yes,Yes,Claude,2020-10-16T02:20:00Z
IO91,-34.09368897,114.8938721,South-west,No-take,C.IO.52,43.5,Hayley,Yes,Yes,Claude,2020-10-16T02:25:00Z
IO123,-34.10618897,114.8188721,South-west,No-take,C.IO.59,49.1,Hayley,Yes,Yes,Daphne,2020-10-15T04:42:00Z
IO125,-34.10868897,114.8263721,South-west,No-take,C.IO.59,55.8,Hayley,Yes,Yes,Daphne,2020-10-15T04:38:00Z
IO132,-33.99118897,114.8713721,South-west,Fished,C.IO.37,42.6,Hayley,Yes,Yes,Daphne,2020-10-13T04:47:00Z
IO145,-33.98618897,114.8238721,South-west,Fished,C.IO.22,45.5,Hayley,Yes,Yes,Daphne,2020-10-13T02:24:00Z
IO152,-33.98118897,114.8688721,South-west,Fished,C.IO.37,41.2,Hayley,Yes,Yes,Daphne,2020-10-13T04:18:00Z
IO155,-34.04368897,114.8838721,South-west,Fished,C.IO.65,41.9,Hayley,Yes,Yes,Claude,2020-10-15T23:42:00Z
IO164,-34.03368897,114.9038721,South-west,Fished,C.IO.62,44.1,Hayley,Yes,Yes,Daphne,2020-10-15T23:14:00Z
IO165,-34.04368897,114.8988721,South-west,Fished,C.IO.62,42.6,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T23:23:00Z
IO184,-34.04118897,114.9038721,South-west,Fished,C.IO.62,45.9,Hayley,Yes,Yes,Ramesh/Brooke,2020-10-15T23:19:00Z
IO201,-34.05618897,114.8338721,South-west,No-take,C.IO.5,45.3,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T06:46:00Z
IO204,-34.06618897,114.7863721,South-west,No-take,C.IO.7,61.5,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T02:35:00Z
IO210,-34.09118897,114.8738721,South-west,No-take,C.IO.6,43.5,Hayley,Yes,Yes,Ramesh/Claude,2020-10-16T02:09:00Z
IO215,-34.06868897,114.9263721,South-west,No-take,C.IO.2,46.7,Hayley,Yes,Yes,Ramesh/Claude,2020-10-16T04:34:00Z
IO218,-34.07368897,114.9213721,South-west,No-take,C.IO.2,46.8,Hayley,Yes,Yes,Ramesh/Claude,2020-10-16T04:28:00Z
IO222,-34.06618897,114.8313721,South-west,No-take,C.IO.4,45,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T06:54:00Z
IO223,-34.07118897,114.8463721,South-west,No-take,C.IO.4,42.9,Hayley,Yes,Yes,Ramesh/Claude,2020-10-15T06:25:00Z
IO224,-34.06118897,114.8388721,South-west,No-take,C.IO.4,43.6,Hayley,Yes,Yes,Claude,2020-10-15T06:35:00Z
