CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
2021-05-WilsonsProm-BRUVS,WP_120,-39.1215504,146.267472,20210523,13:20:00,Wilsons Promontory,No-take,Wilsons Promontory,-53.32,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_121,-39.11730298,146.2737632,20210523,13:16:00,Wilsons Promontory,No-take,Wilsons Promontory,-51.26,,Yes,Yes,,6R problem with camera corrupted files RHS fail
2021-05-WilsonsProm-BRUVS,WP_122,-39.14405143,146.2921177,20210525,9:45:00,Wilsons Promontory,No-take,Wilsons Promontory,-38.2,,Yes,Yes,,Lights very nice
2021-05-WilsonsProm-BRUVS,WP_122F,-39.14405143,146.2921177,20210522,13:26:00,Wilsons Promontory,No-take,Wilsons Promontory,-38.2,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_123,-39.14427891,146.2839399,20210523,13:40:00,Wilsons Promontory,No-take,Wilsons Promontory,-61,,Yes,Yes,,Lights nice drop beautiful fish and sponges
2021-05-WilsonsProm-BRUVS,WP_124,-39.12535282,146.2443021,20210522,11:24:00,Wilsons Promontory,Fished,Wilsons Promontory,-36.94,,Yes,Yes,,Kelp maybe score RHS FAIL
2021-05-WilsonsProm-BRUVS,WP_125,-39.12215677,146.2428348,20210522,11:22:00,Wilsons Promontory,Fished,Wilsons Promontory,-46.25,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_126,-39.11834653,146.2413107,20210522,11:19:00,Wilsons Promontory,Fished,Wilsons Promontory,-34.54,,Yes,Yes,,Good - moved 39 07.118' 146 14.617'
2021-05-WilsonsProm-BRUVS,WP_127,-39.11783471,146.2395023,20210522,11:17:00,Wilsons Promontory,Fished,Wilsons Promontory,-42.18,,Yes,Yes,,Clip good
2021-05-WilsonsProm-BRUVS,WP_128,-39.11773234,146.2348049,20210522,11:14:00,Wilsons Promontory,Fished,Wilsons Promontory,-44.89,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_129,-39.11698167,146.2307103,20210522,11:11:00,Wilsons Promontory,Fished,Wilsons Promontory,-50.19,,Yes,Yes,,Good - moved 39 07.056' 146 13.864
2021-05-WilsonsProm-BRUVS,WP_130,-39.11517323,146.2316089,20210522,11:08:00,Wilsons Promontory,Fished,Wilsons Promontory,-35.17,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_131,-39.11393348,146.2335879,20210522,11:06:00,Wilsons Promontory,Fished,Wilsons Promontory,-34.38,,Yes,Yes,,Clip LHS - kelp
2021-05-WilsonsProm-BRUVS,WP_132,-39.11082842,146.2357717,20210522,11:02:00,Wilsons Promontory,Fished,Wilsons Promontory,-43.26,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_133,-39.10745038,146.2349186,20210522,9:41:00,Wilsons Promontory,Fished,Wilsons Promontory,-54.92,,Yes,Yes,,Nice drop
2021-05-WilsonsProm-BRUVS,WP_134,-39.10550545,146.2349869,20210522,9:39:00,Wilsons Promontory,Fished,Wilsons Promontory,-47.03,,Yes,Yes,,Nice drop
2021-05-WilsonsProm-BRUVS,WP_135,-39.09902236,146.2370456,20210522,9:30:00,Wilsons Promontory,Fished,Wilsons Promontory,-17.22,,Yes,Yes,,Kelp maybe score RHS FAIL
2021-05-WilsonsProm-BRUVS,WP_136,-39.085275,146.220231,20210522,9:19:00,Wilsons Promontory,Fished,Wilsons Promontory,-55.85,,Yes,Yes,,Move 39 05.068' 146 13.310'
2021-05-WilsonsProm-BRUVS,WP_137,-39.08786689,146.2273355,20210522,9:22:00,Wilsons Promontory,Fished,Wilsons Promontory,-41.29,,Yes,Yes,,Great drop big gorilla eating bait bag
2021-05-WilsonsProm-BRUVS,WP_138,-39.08376866,146.2183456,20210522,9:16:00,Wilsons Promontory,Fished,Wilsons Promontory,-39.55,,Yes,Yes,,Cool
2021-05-WilsonsProm-BRUVS,WP_139,-39.07539751,146.2194011,20210522,9:11:00,Wilsons Promontory,Fished,Wilsons Promontory,-47.63,,Yes,Yes,,Good
2021-05-WilsonsProm-BRUVS,WP_140,-39.07112458,146.2210171,20210522,9:08:00,Wilsons Promontory,Fished,Wilsons Promontory,-40.06,,Yes,Yes,,Good -score RHS
2021-05-WilsonsProm-BRUVS,WP_141,-39.05743967,146.4833914,20210521,9:35:00,Wilsons Promontory,Fished,Wilsons Promontory,-25.66,,Yes,Yes,,Cant turn off symbol on 10R with WIFI seems to work ok though
2021-05-WilsonsProm-BRUVS,WP_142,-39.05152968,146.4797443,20210521,9:28:00,Wilsons Promontory,Fished,Wilsons Promontory,-23.67,,Yes,Yes,,Good drop crap vis
2021-05-WilsonsProm-BRUVS,WP_143,-39.05280506,146.4806854,20210521,9:31:00,Wilsons Promontory,Fished,Wilsons Promontory,-22.39,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_144,-39.05071167,146.4782666,20210521,9:25:00,Wilsons Promontory,Fished,Wilsons Promontory,-23.72,,Yes,Yes,,Good drop crap vis
2021-05-WilsonsProm-BRUVS,WP_145,-39.04641493,146.4783809,20210521,9:22:00,Wilsons Promontory,Fished,Wilsons Promontory,-14.55,,Yes,Yes,,Good drop crap vis
2021-05-WilsonsProm-BRUVS,WP_146,-39.04225535,146.4767675,20210521,9:19:00,Wilsons Promontory,Fished,Wilsons Promontory,-25.43,,Yes,Yes,,Vis ok good drop
2021-05-WilsonsProm-BRUVS,WP_147,-39.03882636,146.4741837,20210521,9:17:00,Wilsons Promontory,Fished,Wilsons Promontory,-21.16,,Yes,Yes,,Crap vis
2021-05-WilsonsProm-BRUVS,WP_148,-39.03350079,146.4709952,20210521,9:13:00,Wilsons Promontory,Fished,Wilsons Promontory,-11.4,,Yes,Yes,,Crap vis
2021-05-WilsonsProm-BRUVS,WP_149,-39.02877306,146.4745891,20210521,9:10:00,Wilsons Promontory,Fished,Wilsons Promontory,-8.58,,Yes,Yes,,Fail
2021-05-WilsonsProm-BRUVS,WP_150,-39.02656037,146.4766781,20210521,9:07:00,Wilsons Promontory,Fished,Wilsons Promontory,-20.29,,Yes,Yes,,Vis average seal
2021-05-WilsonsProm-BRUVS,WP_151,-39.06685606,146.4641613,20210521,11:07:00,Wilsons Promontory,No-take,Wilsons Promontory,-29.6,,Yes,Yes,,Poor vis - sand - ok. Time stamp wrong on go pro cant be re-formatted
2021-05-WilsonsProm-BRUVS,WP_152,-39.06511064,146.4455699,20210521,11:15:00,Wilsons Promontory,No-take,Wilsons Promontory,-18.85,,Yes,Yes,,Good
