OpCode,Period,Status,Latitude,Longitude,Date,Time,Location,Site,Successful.count,Successful.length,Depth,Observer
SIMP_SecondRock_S1_20170427_DOV,T10,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T11,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_SecondRock_S1_20170427_DOV,T12,No-take,-32.315,115.6909,20170427,11:30:00,Shoalwater Islands,Second Rock SZ 1,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T1,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T2,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T3,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T4,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T5,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T6,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T7,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T8,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T9,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T10,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T11,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
SIMP_ShoalwaterBay_S1B_20170531_DOV,T12,Fished,-32.278,115.6903,20170531,11:30:00,Shoalwater Islands,Shoalwater Bay 1B,Yes,Yes,5,Caprice
