"Sample","Latitude","Longitude","Date","Time","Location","Status","Site","Successful.count","Successful.length","Depth","Observer","Transect_Length"
"Boyinaboat-10",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-11",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Boyinaboat-12",-31.8272,115.7338,"20170401","11:00:00","Marmion Marine Park","No-take","Boyinaboat","Yes","Yes",5,"Caprice Hyde",25
"Centaur-01",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-02",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-03",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-04",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-05",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-06",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-07",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-08",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-09",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-10",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-11",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Centaur-12",-31.85755,115.70987,"20170401","11:00:00","Marmion Marine Park","Fished","Centaur","Yes","Yes",10.5,"Caprice Hyde",25
"Cow rocks-01",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-02",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-03",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-04",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-05",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-06",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-07",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-08",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-09",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-10",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-11",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
"Cow rocks-12",-31.82,115.7272,"20170401","11:00:00","Marmion Marine Park","Fished","Cow rocks","Yes","Yes",6,"Caprice Hyde",25
