"CAAB_code","Parent_CAAB","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"11168917",11168901,"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290000",11168000,"Biota","Cnidaria","Corals","Stony corals",,,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290904",11290000,"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290912",11290000,"Biota","Cnidaria","Corals","Stony corals","Branching",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290915",11290000,"Biota","Cnidaria","Corals","Stony corals","Columnar",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290910",11290000,"Biota","Cnidaria","Corals","Stony corals","Corymbose",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290909",11290000,"Biota","Cnidaria","Corals","Stony corals","Digitate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290908",11290000,"Biota","Cnidaria","Corals","Stony corals","Encrusting",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290907",11290000,"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290906",11290000,"Biota","Cnidaria","Corals","Stony corals","Massive",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290901",11290000,"Biota","Cnidaria","Corals","Stony corals","Solitary",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290903",11290901,"Biota","Cnidaria","Corals","Stony corals","Solitary","Attached",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290902",11290901,"Biota","Cnidaria","Corals","Stony corals","Solitary","Free-living",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11298000",11290901,"Biota","Cnidaria","Corals","Stony corals","Solitary","Mushroom (Fungiidae)",,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290913",11290000,"Biota","Cnidaria","Corals","Stony corals","Staghorn",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290905",11290000,"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11290911",11290000,"Biota","Cnidaria","Corals","Stony corals","Tabulate",,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11168000",11500000,"Biota","Cnidaria","Corals",,,,,,,,,"Alive/Recruit/Bleached/Dead/Recently dead"
"11077906",11077000,"Biota","Cnidaria","Hydrocorals","Branching",,,,,,,,
"11077907",11077000,"Biota","Cnidaria","Hydrocorals","Submassive / encrusting",,,,,,,,
"11077000",11500000,"Biota","Cnidaria","Hydrocorals",,,,,,,,,
"11001000",11500000,"Biota","Cnidaria","Hydroids",,,,,,,,,
"11229901",11229000,"Biota","Cnidaria","True anemones","Flytrap",,,,,,,,
"11229902",11229000,"Biota","Cnidaria","True anemones","Fourlobed",,,,,,,,
"11229903",11229000,"Biota","Cnidaria","True anemones","Other anemones",,,,,,,,
"11229000",11500000,"Biota","Cnidaria","True anemones",,,,,,,,,
"11164000",11500000,"Biota","Cnidaria","Tube anemones",,,,,,,,,
"11500000",80000000,"Biota","Cnidaria",,,,,,,,,,
"27500902",27500000,"Biota","Crustacea","Barnacles","Acorn",,,,,,,,
"27500901",27500000,"Biota","Crustacea","Barnacles","Stalked",,,,,,,,
"27500000",27000000,"Biota","Crustacea","Barnacles",,,,,,,,,
"28836000",28000903,"Biota","Crustacea","Crabs","King crabs",,,,,,,,
"28843000",28000903,"Biota","Crustacea","Crabs","Porcelain crabs",,,,,,,,
"28850000",28000903,"Biota","Crustacea","Crabs","True crabs",,,,,,,,
"28000903",27000000,"Biota","Crustacea","Crabs",,,,,,,,,
"28825903",28825901,"Biota","Crustacea","Hermit crabs","With anemones",,,,,,,,
"28825902",28825901,"Biota","Crustacea","Hermit crabs","With shell or stone home ",,,,,,,,
"28825901",27000000,"Biota","Crustacea","Hermit crabs",,,,,,,,,
"28820000",28000902,"Biota","Crustacea","Lobsters","Rock lobsters",,,,,,,,
"28821000",28000902,"Biota","Crustacea","Lobsters","Slipper lobsters / bugs",,,,,,,,
"28825904",28000902,"Biota","Crustacea","Lobsters","Squat lobsters",,,,,,,,
"28786000",28000902,"Biota","Crustacea","Lobsters","True lobsters",,,,,,,,
"28000902",27000000,"Biota","Crustacea","Lobsters",,,,,,,,,
"28000901",27000000,"Biota","Crustacea","Prawns / shrimps / mysids",,,,,,,,,
"27000000",80000000,"Biota","Crustacea",,,,,,,,,,
"25001901",25001000,"Biota","Echinoderms","Feather stars","Stalked crinoids",,,,,,,,
"25001902",25001000,"Biota","Echinoderms","Feather stars","Unstalked crinoids",,,,,,,,
"25001000",25000000,"Biota","Echinoderms","Feather stars",,,,,,,,,
"25160902",25160000,"Biota","Echinoderms","Ophiuroids","Basket stars",,,,,,,,
"25160901",25160000,"Biota","Echinoderms","Ophiuroids","Brittle / snake stars",,,,,,,,
"25160000",25000000,"Biota","Echinoderms","Ophiuroids",,,,,,,,,
"25400901",25400000,"Biota","Echinoderms","Sea cucumbers","Benthic",,,,,,,,
"25400902",25400000,"Biota","Echinoderms","Sea cucumbers","Pelagic / swimming",,,,,,,,
"25400000",25000000,"Biota","Echinoderms","Sea cucumbers",,,,,,,,,
"25102000",25000000,"Biota","Echinoderms","Sea stars",,,,,,,,,
"25200902",25200000,"Biota","Echinoderms","Sea urchins","Irregular urchins",,,,,,,,
"25200901",25200000,"Biota","Echinoderms","Sea urchins","Regular urchins",,,,,,,,
"25200000",25000000,"Biota","Echinoderms","Sea urchins",,,,,,,,,
"25000000",80000000,"Biota","Echinoderms",,,,,,,,,,
"37990083",37000000,"Biota","Fishes","Bony fishes",,,,,,,,,
"37990025",37000000,"Biota","Fishes","Eels",,,,,,,,,
"37990028",37990082,"Biota","Fishes","Elasmobranchs","Chimaeras",,,,,,,,
"37990030",37990082,"Biota","Fishes","Elasmobranchs","Rays & skates",,,,,,,,
"37990016",37990082,"Biota","Fishes","Elasmobranchs","Sharks",,,,,,,,
"37990082",37000000,"Biota","Fishes","Elasmobranchs",,,,,,,,,
"37000000",80000000,"Biota","Fishes",,,,,,,,,,
"12000000",80600903,"Biota","Jellies","Ctenophores",,,,,,,,,
"11150000",80600903,"Biota","Jellies","Cubozoa",,,,,,,,,
"11000901",80600903,"Biota","Jellies","Hydromedusae",,,,,,,,,
"35101000",80600903,"Biota","Jellies","Pyrosomes",,,,,,,,,
"35100000",80600903,"Biota","Jellies","Salps",,,,,,,,,
"11120000",80600903,"Biota","Jellies","Scyphozoa",,,,,,,,,
"11090000",80600903,"Biota","Jellies","Siphonophores",,,,,,,,,
"80600903",80000000,"Biota","Jellies",,,,,,,,,,
"80300912",80300911,"Biota","Macroalgae","Articulated calcareous","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300913",80300911,"Biota","Macroalgae","Articulated calcareous","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300911",80300000,"Biota","Macroalgae","Articulated calcareous",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300927",80300926,"Biota","Macroalgae","Encrusting","Brown",,,,,,,,
"80300928",80300926,"Biota","Macroalgae","Encrusting","Green",,,,,,,,
"80300929",80300926,"Biota","Macroalgae","Encrusting","Red",,,,,,,,
"80300934",80300929,"Biota","Macroalgae","Encrusting","Red","Calcareous",,,,,,,
"80300935",80300929,"Biota","Macroalgae","Encrusting","Red","Non-calcareous",,,,,,,
"80300926",80300000,"Biota","Macroalgae","Encrusting",,,,,,,,,
"80300904",80300903,"Biota","Macroalgae","Erect coarse branching","Brown",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300905",80300903,"Biota","Macroalgae","Erect coarse branching","Green",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300906",80300903,"Biota","Macroalgae","Erect coarse branching","Red",,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
"80300903",80300000,"Biota","Macroalgae","Erect coarse branching",,,,,,,,,"Drift/No epiphytes/Epiphytes algae/Epiphytes other"
