OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.26	10	L041 (02).MP4	58848	R042 (02).MP4	56253	38.91944	1	2.88399	2007.19890	12.63268	-5057.47749	19.37728	2.46634	49.42360	34.31181	5441.23934	21.64745	Chaetodontidae	Chaetodon	auriga	37365019	1	AD	Passing			
npz6.26	11	L041 (02).MP4	59967	R042 (02).MP4	57372	39.23058	1	3.19514	-423.75830	318.59344	-5780.47222	5.47985	4.82416	65.43683	18.65438	5804.73358	5.06923	Siganidae	Siganus	punctatus	37438003	1	AD	Passing			
npz6.26	12	L041 (02).MP4	59967	R042 (02).MP4	57372	39.23058	1	3.19514	633.41895	194.09508	-5685.01305	7.46231	3.70393	63.25178	35.97222	5723.48372	6.56679	Siganidae	Siganus	punctatus	37438003	1	AD	Passing			
npz6.26	13	L041 (02).MP4	60029	R042 (02).MP4	57434	39.24782	1	3.21238	746.83156	506.93224	-3777.47495	5.70942	4.29135	28.01753	11.26045	3883.81960	13.27609	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
npz6.26	14	L041 (02).MP4	60039	R042 (02).MP4	57444	39.25060	1	3.21516	1105.62380	174.47647	-3689.69180	8.00311	2.26255	26.70597	23.38745	3855.73231	16.83236	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
npz6.26	15	L041 (02).MP4	60132	R042 (02).MP4	57537	39.27646	1	3.24102	1629.19253	18.35838	-2931.77947	8.54450	1.40344	15.67273	30.98902	3354.09246	29.06056	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
npz6.26	16	L041 (02).MP4	60132	R042 (02).MP4	57537	39.27646	1	3.24102	1772.13721	291.41956	-3395.99242	10.93746	2.51763	21.34382	30.29231	3841.63509	27.82544	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
npz6.26	17	L041 (02).MP4	60151	R042 (02).MP4	57556	39.28174	1	3.24630	66.48035	76.29026	-3441.13189	1.72245	1.78040	23.28967	38.56032	3442.61943	1.47564	Labridae	Bodianus	bilunulatus	37384054	1	AD	Passing			
npz6.26	18	L041 (02).MP4	60151	R042 (02).MP4	57556	39.28174	1	3.24630	-3134.56044	410.92207	-8356.89292	50.15050	8.35010	135.08047	11.80360	8934.87467	20.68522	Labridae	Bodianus	bilunulatus	37384054	1	AD	Passing			
npz6.26	19	L041 (02).MP4	60151	R042 (02).MP4	57556	39.28174	1	3.24630	-217.10624	46.12705	-4496.65521	2.86696	2.25943	39.68207	16.40015	4502.12960	2.77963	Labridae	Bodianus	bilunulatus	37384054	1	AD	Passing			
npz6.26	20	L041 (02).MP4	61363	R042 (02).MP4	58768	39.61875	1	3.58330	428.95083	223.07374	-2954.94482	2.81724	1.98632	17.21773	40.30846	2994.23773	9.16057	Pomacentridae	Chromis	spp	99379175	42	AD	Passing			
npz6.26	22	L041 (02).MP4	72047	R042 (02).MP4	69452	42.58949	1	6.55405	2264.83836	380.20605	-4443.88601	18.38116	3.92960	36.68904	42.84243	5002.21674	27.28200	Acanthuridae	Acanthurus	olivaceus	37437016	1	AD	Passing			
npz6.26	23	L041 (02).MP4	72047	R042 (02).MP4	69452	42.58949	1	6.55405	2324.38648	997.77951	-5866.78508	25.81660	11.84144	65.89450	54.68474	6388.85778	23.20916	Acanthuridae	Acanthurus	olivaceus	37437016	1	AD	Passing			
npz6.26	24	L041 (02).MP4	72047	R042 (02).MP4	69452	42.58949	1	6.55405	1752.45350	448.69977	-4204.31765	13.96453	4.28347	33.94008	40.66155	4576.97626	23.20948	Acanthuridae	Acanthurus	olivaceus	37437016	1	AD	Passing			
npz6.26	27	L041 (03).MP4	7151	R042 (03).MP4	4556	47.08454	1	11.04909	1137.57346	346.41763	-5307.52748	11.90175	4.64530	55.16729	26.70955	5439.11082	12.54609	Zanclidae	Zanclus	cornutus	37437001	1	AD	Passing			
npz6.26	28	L041 (03).MP4	7151	R042 (03).MP4	4556	47.08454	1	11.04909	2022.17308	141.47290	-4837.00575	18.56269	2.79190	44.99196	33.17353	5244.59943	22.71911	Zanclidae	Zanclus	cornutus	37437001	1	AD	Passing			
npz6.26	29	L041 (03).MP4	8793	R042 (03).MP4	6198	47.54110	1	11.50566	-307.68695	25.98719	-2390.34943	1.82143	1.17254	11.33358	11.38676	2410.21099	7.34172	Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
npz6.26	30	L041 (03).MP4	8793	R042 (03).MP4	6198	47.54110	1	11.50566	-195.60350	-162.09932	-2221.31386	1.36178	1.26357	9.80109	10.13378	2235.79342	6.71549	Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
npz6.26	36	L041 (03).MP4	9777	R042 (03).MP4	7182	47.81471	1	11.77927	52.99245	638.28449	-3633.81720	1.79522	4.98229	25.92674	16.00234	3689.82964	9.70339	Labridae	Choerodon	rubescens	37384039	1	AD	Passing	length error for some reason		
npz6.26	41	L041 (03).MP4	16342	R042 (03).MP4	13747	49.64015	1	13.60470	-2790.91054	235.96109	-6601.56973	34.89208	4.65565	83.70205	17.11195	7171.16323	22.96722	Scaridae	Scarus	sp3		1	AD	Passing			
npz6.26	42	L041 (03).MP4	16362	R042 (03).MP4	13767	49.64571	1	13.61026	-3122.99002	255.22355	-5920.47004	33.54335	4.19043	64.91376	4.39727	6698.52008	27.86747	Scaridae	Scarus	sp3		1	AD	Passing			
npz6.26	43	L041 (03).MP4	16415	R042 (03).MP4	13820	49.66044	1	13.62500	-1486.20923	289.92543	-6264.97451	18.24481	4.97559	77.00303	11.39148	6445.36890	13.53440	Scaridae	Scarus	sp3		1	AD	Passing			
npz6.26	44	L041 (03).MP4	16563	R042 (03).MP4	13968	49.70160	1	13.66615	-2234.98055	446.75854	-6849.75136	29.59310	7.21349	91.50441	21.48719	7218.99057	18.34903	Scaridae	Scarus	sp3		1	AD	Passing			
npz6.26	45	L041 (03).MP4	16563	R042 (03).MP4	13968	49.70160	1	13.66615	-897.30438	410.18083	-6635.16170	11.94033	6.59393	86.24200	17.56472	6708.11257	8.33975	Scaridae	Scarus	sp3		1	AD	Passing			
npz6.26	46	L041 (03).MP4	28892	R042 (03).MP4	26297	53.12974	1	17.09430	2784.94643	728.93929	-6049.35133	31.35483	9.10963	69.02274	52.06006	6699.39778	25.37595	Monacanthidae	Aluterus	scriptus	37465045	1	AD	Passing			
npz6.26	48	L041 (03).MP4	32206	R042 (03).MP4	29611	54.05122	1	18.01578	-1716.69345	396.07674	-6748.35875	22.61533	6.54795	89.23506	42.47672	6974.54365	14.56834	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
npz6.26	58	L041 (04).MP4	20028	R042 (04).MP4	17433	73.20452	1	37.16908	395.98673	58.90831	-3379.91216	3.04434	1.71105	22.48865	7.75641	3403.53961	6.71815	Labridae	Coris	auricularis	37384088	49	AD	Passing			
npz6.26	61	L041 (04).MP4	21061	R042 (04).MP4	18466	73.49175	1	37.45631	-3136.25076	1041.35243	-6811.43710	39.66387	14.11055	87.48515	4.20359	7570.74363	25.78952	Carangidae		spp		1	AD	Passing			
