Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length
18.04,113.810603,-22.06172601,16082019,12:50:00,18,Ningaloo Marine Park,NA,134,Charlotte Aston,Yes,Yes
18.07,113.8281828,-22.06264574,16082019,12:54:00,18,Ningaloo Marine Park,NA,109,Charlotte Aston,Yes,Yes
18.08,113.823194,-22.0725328,16082019,12:58:00,18,Ningaloo Marine Park,NA,96,Charlotte Aston,Yes,Yes
19.01,113.82289,-22.01347,16082019,14:42:00,19,Ningaloo Marine Park,NA,107,Charlotte Aston,Yes,Yes
19.02,113.821531,-22.00792203,16082019,14:44:00,19,Ningaloo Marine Park,NA,122,Charlotte Aston,Yes,Yes
19.03,113.8305585,-22.00286353,16082019,14:55:00,19,Ningaloo Marine Park,NA,99,Charlotte Aston,Yes,Yes
19.04,113.8255696,-22.00056422,16082019,14:49:00,19,Ningaloo Marine Park,NA,109,Charlotte Aston,Yes,Yes
19.05,113.8291331,-21.99757511,16082019,14:59:00,19,Ningaloo Marine Park,NA,101,Charlotte Aston,Yes,Yes
19.08,113.8234315,-21.99412613,16082019,15:03:00,19,Ningaloo Marine Park,NA,130,Charlotte Aston,Yes,Yes
23.01,114.0835652,-21.68647769,17082019,13:22:00,23,Ningaloo Marine Park,NA,102,Charlotte Aston,Yes,Yes
23.02,114.0785763,-21.68555797,17082019,13:28:00,23,Ningaloo Marine Park,NA,106,Charlotte Aston,Yes,Yes
23.03,114.0811896,-21.68233893,17082019,13:31:00,23,Ningaloo Marine Park,NA,109,Charlotte Aston,Yes,Yes
23.04,114.0845155,-21.67980968,17082019,13:35:00,23,Ningaloo Marine Park,NA,110,Charlotte Aston,Yes,Yes
23.06,114.0944932,-21.67475118,17082019,13:46:00,23,Ningaloo Marine Park,NA,107,Charlotte Aston,Yes,Yes
23.09,114.0747,-21.706867,17082019,13:13:00,23,Ningaloo Marine Park,NA,67,Charlotte Aston,Yes,Yes
30.01,113.90413,-21.91122,17082019,10:04:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,No ,No 
30.02,113.90722,-21.90687,17082019,10:08:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,Yes,Yes
30.03,113.91082,-21.89999,17082019,10:13:00,30,Ningaloo Marine Park,NA,67,Charlotte Aston,Yes,Yes
30.04,113.91423,-21.89513,17082019,10:16:00,30,Ningaloo Marine Park,NA,69,Charlotte Aston,Yes,Yes
30.05,113.91801,-21.88983,17082019,10:20:00,30,Ningaloo Marine Park,NA,68,Charlotte Aston,Yes,Yes
30.06,113.9202,-21.8876,17082019,10:23:00,30,Ningaloo Marine Park,NA,66,Charlotte Aston,Yes,Yes
31.01,114.08985,-21.6873167,17082019,15:25:00,31,Ningaloo Marine Park,NA,77,Charlotte Aston,Yes,Yes
31.02,114.09,-21.6919667,17082019,15:29:00,31,Ningaloo Marine Park,NA,71,Charlotte Aston,Yes,Yes
31.03,114.0887667,-21.69445,17082019,15:31:00,31,Ningaloo Marine Park,NA,66,Charlotte Aston,Yes,Yes
31.04,114.0877667,-21.69635,17082019,15:34:00,31,Ningaloo Marine Park,NA,64,Charlotte Aston,Yes,Yes
31.05,114.0814333,-21.70045,17082019,15:39:00,31,Ningaloo Marine Park,NA,67,Charlotte Aston,Yes,Yes
31.06,114.0774833,-21.7025167,17082019,15:45:00,31,Ningaloo Marine Park,NA,66,Charlotte Aston,Yes,Yes
