"species","trophic_level","se","metric"
"Gnathophis longicauda","3.8","0.6","based on size and trophs of closest relative"
"Ariosoma mauritianum","3.8","0.7","based on size and trophs of closest relative"
"Gnathophis nasutus","3.6","0.6","based on size and trophs of closest relative"
"Lumiconger arafura","3.7","0.5","based on size and trophs of closest relative"
"Ariosoma anago","4.0","0.66","based on food items"
"Conger verreauxi","4.2","0.4","based on size and trophs of closest relative"
"Diploconger polystigmatus","3.7","0.5","based on size and trophs of closest relative"
"Blachea xenobranchialis","3.9","0.5","based on size and trophs of closest relative"
"Rhynchoconger ectenurus","4.0","0.5","based on size and trophs of closest relative"
"Bassanago bulbiceps","4.0","0.5","based on size and trophs of closest relative"
"Bassanago hirsutus","4.1","0.5","based on size and trophs of closest relative"
"Ariosoma scheelei","3.7","0.6","based on size and trophs of closest relative"
"Conger cinereus","4.3","0.5","based on diet studies"
"Gnathophis umbrellabius","3.9","0.6","based on size and trophs of closest relative"
"Heteroconger hassi","3.4","0.4","based on size and trophs of closest relative"
"Ariosoma kapala","4.1","0.7","based on size and trophs of closest relative"
"Scalanago lateralis","3.8","0.5","based on size and trophs of closest relative"
"Uroconger lepturus","3.5","0.50","based on food items"
"Bathycongrus guttulatus","3.8","0.5","based on size and trophs of closest relative"
"Gavialiceps javanicus","3.9","0.6","based on size and trophs of closest relative"
"Gorgasia galzini","3.4","0.4","based on size and trophs of closest relative"
"Gorgasia preclara","3.4","0.45","based on food items"
"Gnathophis macroporis","3.8","0.6","based on size and trophs of closest relative"
"Gnathophis grahami","3.8","0.6","based on size and trophs of closest relative"
"Gnathophis castlei","3.8","0.6","based on size and trophs of closest relative"
"Gnathophis microps","3.8","0.6","based on size and trophs of closest relative"
"Bathycongrus odontostomus","3.2","0.4","based on size and trophs of closest relative"
"Bathyuroconger vicinus","4.5","0.80","based on food items"
"Coloconger scholesi","3.8","0.6","based on size and trophs of closest relative"
"Ariosoma anagoides","4.0","0.7","based on size and trophs of closest relative"
"Bathycongrus retrotinctus","3.9","0.5","based on size and trophs of closest relative"
"Castleichthys auritus","3.7","0.5","based on size and trophs of closest relative"
"Ariosoma howensis","3.9","0.7","based on size and trophs of closest relative"
"Congriscus maldivensis","3.8","0.5","based on size and trophs of closest relative"
"Coloconger raniceps","3.8","0.6","based on size and trophs of closest relative"
"Promyllantor adenensis","3.9","0.5","based on size and trophs of closest relative"
"Bathycongrus wallacei","3.9","0.5","based on size and trophs of closest relative"
"Ophisurus serpens","4.1","0.6","based on size and trophs of closest relative"
"Pisodonophis cancrivorus","3.8","0.6","based on size and trophs of closest relative"
"Scolecenchelys australis","3.5","0.0","based on diet studies"
"Scolecenchelys breviceps","4.5","0.80","based on food items"
"Brachysomophis cirrocheilos","4.0","0.66","based on food items"
"Callechelys marmorata","3.9","0.6","based on size and trophs of closest relative"
"Callechelys catostoma","3.9","0.6","based on size and trophs of closest relative"
"Cirrhimuraena calamus","3.7","0.6","based on size and trophs of closest relative"
"Leiuranus versicolor","3.9","0.6","based on size and trophs of closest relative"
"Ichthyapus vulturis","4.5","0.80","based on food items"
"Leiuranus semicinctus","3.1","0.3","based on diet studies"
"Malvoliophis pinguis","3.8","0.6","based on size and trophs of closest relative"
"Scolecenchelys gymnota","4.1","0.7","based on size and trophs of closest relative"
"Scolecenchelys iredalei","3.9","0.7","based on size and trophs of closest relative"
"Scolecenchelys laticaudata","4.1","0.7","based on size and trophs of closest relative"
"Scolecenchelys macroptera","4.0","0.7","based on size and trophs of closest relative"
"Myrichthys colubrinus","3.6","0.4","based on size and trophs of closest relative"
"Myrichthys maculosus","3.6","0.4","based on size and trophs of closest relative"
"Neenchelys cheni","4.1","0.7","based on size and trophs of closest relative"
"Ophichthus cephalozona","4.1","0.7","based on size and trophs of closest relative"
"Ophichthus bonaparti","4.0","0.7","based on size and trophs of closest relative"
"Ophichthus altipennis","4.1","0.7","based on size and trophs of closest relative"
"Ophichthus rutidoderma","4.5","0.80","based on food items"
"Phyllophichthus xenodontus","3.7","0.6","based on size and trophs of closest relative"
"Pisodonophis boro","4.0","0.71","based on food items"
"Schismorhynchus labialis","3.9","0.7","based on size and trophs of closest relative"
"Yirrkala chaselingi","3.7","0.6","based on size and trophs of closest relative"
"Brachysomophis crocodilinus","4.1","0.58","based on food items"
"Muraenichthys thompsoni","3.9","0.7","based on size and trophs of closest relative"
"Myrophis microchir","4.1","0.7","based on size and trophs of closest relative"
"Echelus uropterus","3.9","0.5","based on diet studies"
"Skythrenchelys zabra","4.0","0.7","based on size and trophs of closest relative"
"Ophichthus lithinus","4.2","0.7","based on size and trophs of closest relative"
"Brachysomophis henshawi","4.0","0.6","based on size and trophs of closest relative"
"Allips concolor","3.8","0.6","based on size and trophs of closest relative"
"Apterichtus klazingai","3.9","0.67","based on food items"
"Ophichthus urolophus","3.5","0.37","based on food items"
"Schultzidia johnstonensis","3.9","0.66","based on food items"
"Scolecenchelys godeffroyi","4.0","0.7","based on size and trophs of closest relative"
"Apterichtus flavicaudus","4.1","0.7","based on size and trophs of closest relative"
"Bascanichthys sibogae","3.6","0.5","based on size and trophs of closest relative"
"Xyrias revulsus","3.9","0.6","based on size and trophs of closest relative"
"Yirrkala misolensis","3.8","0.6","based on size and trophs of closest relative"
"Scolecenchelys castlei","4.2","0.7","based on size and trophs of closest relative"
"Ophichthus alleni","4.0","0.7","based on size and trophs of closest relative"
"Yirrkala calyptra","3.7","0.6","based on size and trophs of closest relative"
"Apterichtus malabar","3.9","0.6","based on size and trophs of closest relative"
"Diastobranchus capensis","4.5","0.55","based on food items"
"Ilyophis brunneus","3.2","0.37","based on food items"
"Synaphobranchus affinis","4.5","0.5","based on size and trophs of closest relative"
"Synaphobranchus brevidorsalis","4.3","0.5","based on size and trophs of closest relative"
"Simenchelys parasitica","3.7","0.54","based on food items"
"Histiobranchus australis","4.2","0.5","based on size and trophs of closest relative"
"Histiobranchus bruuni","4.2","0.5","based on size and trophs of closest relative"
"Synaphobranchus kaupii","4.1","0.4","based on diet studies"
"Synaphobranchus oregoni","4.3","0.5","based on size and trophs of closest relative"
"Nessorhamphus danae","3.2","0.4","based on size and trophs of closest relative"
"Nessorhamphus ingolfianus","3.5","0.50","based on food items"
"Derichthys serpentinus","3.1","0.30","based on food items"
"Serrivomer beanii","3.7","0.58","based on food items"
"Serrivomer bertini","3.8","0.5","based on size and trophs of closest relative"
"Nemichthys curvirostris","3.3","0.41","based on food items"
"Avocettina acuticeps","3.4","0.4","based on size and trophs of closest relative"
"Avocettina infans","3.5","0.50","based on food items"
"Labichthys yanoi","3.4","0.4","based on size and trophs of closest relative"
"Nemichthys scolopaceus","3.5","0.0","based on diet studies"
"Cyema atrum","3.6","0.5","based on size and trophs of closest relative"
"Saccopharynx schmidti","4.2","0.6","based on size and trophs of closest relative"
"Eurypharynx pelecanoides","4.1","0.57","based on food items"
"Halosaurus pectoralis","3.4","0.4","based on size and trophs of closest relative"
"Halosauropsis macrochir","3.3","0.36","based on food items"
"Aldrovandia affinis","3.3","0.40","based on food items"
"Aldrovandia phalacra","3.2","0.34","based on food items"
"Halosaurus ovenii","3.5","0.48","based on food items"
"Aldrovandia rostrata","3.5","0.50","based on food items"
"Aldrovandia oleosa","3.1","0.26","based on food items"
"Lipogenys gillii","3.5","0.37","based on food items"
"Notacanthus sexspinis","3.0","0.17","based on food items"
"Notacanthus chemnitzii","3.5","0.37","based on food items"
"Sardinops sagax","2.8","0.1","based on diet studies"
"Spratelloides robustus","3.4","0.45","based on food items"
"Sprattus novaehollandiae","2.8","0.2","based on size and trophs of closest relative"
"Hyperlophus vittatus","3.4","0.45","based on food items"
"Amblygaster sirm","2.9","0.30","based on food items"
"Herklotsichthys koningsbergeri","3.1","0.3","based on size and trophs of closest relative"
"Herklotsichthys lippa","3.1","0.3","based on size and trophs of closest relative"
"Pellona ditchela","4.0","0.7","based on size and trophs of closest relative"
"Dussumieria elopsoides","3.5","0.43","based on food items"
"Ilisha lunula","3.5","0.5","based on size and trophs of closest relative"
"Sardinella gibbosa","2.9","0.30","based on food items"
"Sardinella albella","2.6","0.14","based on food items"
"Anodontostoma chacunda","2.8","0.28","based on food items"
"Nematalosa come","2.8","0.28","based on food items"
"Nematalosa vlaminghi","3.4","0.45","based on food items"
"Sardinella lemuru","2.5","0.00","based on food items"
"Amblygaster leiogaster","3.4","0.45","based on food items"
"Escualosa thoracata","3.2","0.1","based on diet studies"
"Herklotsichthys blackburni","3.1","0.3","based on size and trophs of closest relative"
"Herklotsichthys castelnaui","3.1","0.3","based on size and trophs of closest relative"
"Herklotsichthys gotoi","3.1","0.3","based on size and trophs of closest relative"
"Herklotsichthys quadrimaculatus","3.6","0.4","based on diet studies"
"Hyperlophus translucidus","3.0","0.1","based on size and trophs of closest relative"
"Potamalosa richmondia","3.3","0.43","based on food items"
"Sardinella brachysoma","2.9","0.3","based on size and trophs of closest relative"
"Spratelloides delicatulus","3.1","0.0","based on diet studies"
"Spratelloides gracilis","3.1","0.0","based on diet studies"
"Herklotsichthys collettei","3.1","0.3","based on size and trophs of closest relative"
"Ilisha elongata","3.8","0.61","based on food items"
"Sardinella melanura","2.9","0.3","based on size and trophs of closest relative"
"Ilisha striatula","3.4","0.5","based on size and trophs of closest relative"
"Engraulis australis","3.0","0.00","based on food items"
"Encrasicholina punctifer","3.4","0.45","based on food items"
"Setipinna paxtoni","3.4","0.5","based on size and trophs of closest relative"
"Thryssa setirostris","3.3","0.48","based on food items"
"Thryssa hamiltonii","3.5","0.51","based on food items"
"Stolephorus indicus","3.6","0.0","based on diet studies"
"Papuengraulis micropinna","3.4","0.45","based on food items"
"Setipinna tenuifilis","3.6","0.51","based on food items"
"Stolephorus carpentariae","3.2","0.4","based on size and trophs of closest relative"
"Stolephorus andhraensis","3.2","0.4","based on size and trophs of closest relative"
"Stolephorus brachycephalus","3.2","0.4","based on size and trophs of closest relative"
"Stolephorus commersonnii","3.1","0.20","based on food items"
"Encrasicholina heteroloba","3.3","0.1","based on diet studies"
"Stolephorus waitei","3.3","0.4","based on size and trophs of closest relative"
"Thryssa baelama","2.9","0.26","based on food items"
"Thryssa scratchleyi","4.2","0.73","based on food items"
"Stolephorus advenus","3.3","0.4","based on size and trophs of closest relative"
"Stolephorus nelsoni","3.3","0.4","based on size and trophs of closest relative"
"Thryssa brevicauda","3.3","0.4","based on size and trophs of closest relative"
"Thryssa encrasicholoides","3.3","0.5","based on size and trophs of closest relative"
"Thryssa marasriae","3.2","0.4","based on size and trophs of closest relative"
"Chirocentrus dorab","4.4","0.89","based on food items"
"Chirocentrus nudus","4.2","0.74","based on food items"
"Argentina australiae","3.3","0.4","based on size and trophs of closest relative"
"Microstoma australis","3.4","0.4","based on size and trophs of closest relative"
"Glossanodon australis","3.1","0.4","based on size and trophs of closest relative"
"Nansenia ardesiaca","3.3","0.4","based on size and trophs of closest relative"
"Glossanodon pseudolineatus","3.1","0.3","based on size and trophs of closest relative"
"Glossanodon elongatus","3.1","0.3","based on size and trophs of closest relative"
"Nansenia antarctica","3.3","0.4","based on size and trophs of closest relative"
"Bathylagus antarcticus","3.1","0.39","based on food items"
