"species","trophic_level","se","metric"
"Pavoraja arenaria","3.7","0.6","based on size and trophs of closest relative"
"Pavoraja mosaica","3.6","0.6","based on size and trophs of closest relative"
"Pavoraja pseudonitida","3.7","0.7","based on size and trophs of closest relative"
"Pavoraja umbrosa","3.7","0.7","based on size and trophs of closest relative"
"Pavoraja alleni","3.7","0.6","based on size and trophs of closest relative"
"Dipturus canutus","3.9","0.6","based on size and trophs of closest relative"
"Dipturus grahamorum","3.8","0.6","based on size and trophs of closest relative"
"Dentiraja falloargus","4.1","0.7","based on size and trophs of closest relative"
"Dentiraja oculus","4.1","0.7","based on size and trophs of closest relative"
"Dipturus apricus","3.8","0.6","based on size and trophs of closest relative"
"Dipturus melanospilus","3.8","0.6","based on size and trophs of closest relative"
"Dipturus wengi","3.9","0.6","based on size and trophs of closest relative"
"Dipturus acrobelus","3.9","0.6","based on size and trophs of closest relative"
"Dipturus queenslandicus","3.8","0.6","based on size and trophs of closest relative"
"Dipturus maugeanus","3.9","0.6","based on size and trophs of closest relative"
"Dentiraja flindersi","3.9","0.6","based on size and trophs of closest relative"
"Leucoraja pristispina","3.5","0.1","based on size and trophs of closest relative"
"Rajella challengeri","3.6","0.5","based on size and trophs of closest relative"
"Amblyraja hyperborea","4.3","0.5","based on diet studies"
"Dentiraja polyommata","4.0","0.61","based on food items"
"Dentiraja endeavouri","4.0","0.6","based on size and trophs of closest relative"
"Okamejei arafurensis","4.0","0.6","based on size and trophs of closest relative"
"Bathyraja richardsoni","4.0","0.69","based on food items"
"Bathyraja murrayi","3.9","0.7","based on size and trophs of closest relative"
"Bathyraja irrasa","4.0","0.7","based on size and trophs of closest relative"
"Bathyraja arctowskii","3.9","0.7","based on size and trophs of closest relative"
"Bathyraja eatonii","4.0","0.7","based on size and trophs of closest relative"
"Bathyraja maccaini","4.0","0.7","based on size and trophs of closest relative"
"Sinobatis bulbicauda","3.8","0.6","based on size and trophs of closest relative"
"Sinobatis filicauda","3.8","0.6","based on size and trophs of closest relative"
"Sinobatis caerulea","3.8","0.7","based on size and trophs of closest relative"
"Bathytoshia brevicaudata","3.9","0.45","based on food items"
"Bathytoshia lata","4.0","0.6","based on size and trophs of closest relative"
"Himantura australis","3.6","0.5","based on size and trophs of closest relative"
"Neotrygon australiae","3.4","0.3","based on size and trophs of closest relative"
"Hemitrygon fluviorum","3.6","0.50","based on food items"
"Taeniura lymma","3.8","0.45","based on food items"
"Pteroplatytrygon violacea","4.4","0.54","based on food items"
"Pastinachus ater","3.7","0.6","based on size and trophs of closest relative"
"Neotrygon annotata","3.4","0.3","based on size and trophs of closest relative"
"Neotrygon leylandi","3.4","0.3","based on size and trophs of closest relative"
"Taeniurops meyeni","4.2","0.69","based on food items"
"Urogymnus granulatus","4.1","0.64","based on food items"
"Maculabatis astra","3.7","0.4","based on size and trophs of closest relative"
"Hemitrygon parvonigra","3.7","0.5","based on size and trophs of closest relative"
"Maculabatis toshi","3.6","0.3","based on diet studies"
