id,imcra_names,imcra_codes
37039002,Northeast Shelf Transition,41
37039005,Northern Shelf Province,25
37039005,Northwest Shelf Transition,26
37039005,Northwest Shelf Province,27
37039005,Central Western Shelf Transition,28
37039005,Central Western Shelf Province,29
37039005,Northeast Shelf Province,40
37039005,Northeast Shelf Transition,41
37428143,Southwest Shelf Province,31
37428004,Spencer Gulf Shelf Province,33
37428004,Western Bass Strait Shelf Transition,34
37428004,Bass Strait Shelf Province,35
37428004,Tasmanian Shelf Province,36
37428004,Southeast Shelf Transition,37
37428004,Central Eastern Shelf Province,38
37428004,Central Eastern Shelf Transition,39
37272003,Tasmania Province,10
37272003,Bass Strait Shelf Province,35
37272003,Tasmanian Shelf Province,36
37435025,Timor Province,2
37435002,Northeast Shelf Transition,41
37206036,Western Bass Strait Shelf Transition,34
37206036,Bass Strait Shelf Province,35
37206036,Tasmanian Shelf Province,36
37206036,West Tasmania Transition,9
37206007,Southwest Shelf Province,31
37206008,Great Australian Bight Shelf Transition,32
37206008,Spencer Gulf Shelf Province,33
37206008,Western Bass Strait Shelf Transition,34
37206008,Bass Strait Shelf Province,35
37206008,Tasmanian Shelf Province,36
37206008,Southeast Shelf Transition,37
37206008,Central Eastern Shelf Province,38
37206031,Southwest Shelf Transition,30
37206031,Southwest Shelf Province,31
37206031,Great Australian Bight Shelf Transition,32
37206032,Southwest Shelf Province,31
37206009,Southwest Shelf Province,31
37206009,Great Australian Bight Shelf Transition,32
37206009,Spencer Gulf Shelf Province,33
37206009,Western Bass Strait Shelf Transition,34
37206009,Bass Strait Shelf Province,35
37206009,Tasmanian Shelf Province,36
37206009,Southeast Shelf Transition,37
37206009,Central Eastern Shelf Province,38
37206033,Southwest Shelf Province,31
37206033,Southeast Shelf Transition,37
37206034,Southwest Shelf Transition,30
37206034,Southwest Shelf Province,31
37206034,Great Australian Bight Shelf Transition,32
37206010,Spencer Gulf Shelf Province,33
37206010,Western Bass Strait Shelf Transition,34
37206010,Bass Strait Shelf Province,35
37206010,Tasmanian Shelf Province,36
37206010,Southeast Shelf Transition,37
37206010,Central Eastern Shelf Province,38
37206010,Central Eastern Shelf Transition,39
37206035,Bass Strait Shelf Province,35
37206035,Tasmanian Shelf Province,36
37206035,Southeast Shelf Transition,37
37206037,Norfolk Island Province,21
37055001,Northern Shelf Province,25
37055001,Northwest Shelf Transition,26
37055001,Northwest Shelf Province,27
37055001,Central Western Shelf Transition,28
37055001,Central Eastern Shelf Province,38
37055001,Central Eastern Shelf Transition,39
37055001,Northeast Shelf Province,40
37055001,Northeast Shelf Transition,41
37055002,Lord Howe Province,14
37055002,Northwest Shelf Province,27
37055002,Central Eastern Shelf Transition,39
37055002,Northeast Shelf Province,40
37055002,Northeast Shelf Transition,41
37381001,Central Western Shelf Province,29
37381001,Southwest Shelf Transition,30
37381001,Southwest Shelf Province,31
37381001,Great Australian Bight Shelf Transition,32
37381001,Spencer Gulf Shelf Province,33
37381001,Western Bass Strait Shelf Transition,34
37381001,Bass Strait Shelf Province,35
37381001,Tasmanian Shelf Province,36
37381001,Southeast Shelf Transition,37
37381001,Central Eastern Shelf Province,38
37381001,Central Eastern Shelf Transition,39
37381001,Northeast Shelf Province,40
37081004,Central Eastern Province,12
37081004,Tasman Basin Province,13
37081004,Lord Howe Province,14
37081004,Central Eastern Transition,15
37081004,Kenn Transition,16
37081004,Northeast Province,18
37081004,Northeast Transition,19
37081004,Timor Province,2
37081004,Cape Province,20
37081004,Norfolk Island Province,21
37081004,Northwest Transition,3
37081004,Northwest Province,4
37081004,Central Western Transition,5
37081004,Central Western Province,6
