caab_code,imcra_region
37292004,Western Bass Strait Shelf Transition
37292004,Bass Strait Shelf Province
37292004,Tasmanian Shelf Province
37292004,Southeast Shelf Transition
37311134,Timor Province
37311134,Cocos (Keeling) Island Province
37311134,Christmas Island Province
37311134,Northwest Shelf Transition
37311134,Northwest Transition
37311134,Northeast Shelf Province
37311134,Northeast Shelf Transition
37039003,Timor Transition
37039003,Christmas Island Province
37039003,Northern Shelf Province
37039003,Northwest Shelf Transition
37039003,Northwest Shelf Province
37039003,Central Western Shelf Transition
37039003,Central Western Shelf Province
37039003,Central Eastern Shelf Province
37039003,Central Eastern Shelf Transition
37039003,Northeast Shelf Province
37039003,Northeast Shelf Transition
37039002,Northern Shelf Province
37039002,Northwest Shelf Transition
37039002,Northwest Shelf Province
37039002,Central Eastern Shelf Transition
37039002,Northeast Shelf Province
37039002,Northeast Shelf Transition
37039005,Northern Shelf Province
37039005,Northwest Shelf Transition
37039005,Northwest Shelf Province
37039005,Central Western Shelf Transition
37039005,Central Western Shelf Province
37039005,Northeast Shelf Province
37039005,Northeast Shelf Transition
37428143,Southwest Shelf Province
37428004,Spencer Gulf Shelf Province
37428004,Western Bass Strait Shelf Transition
37428004,Bass Strait Shelf Province
37428004,Tasmanian Shelf Province
37428004,Southeast Shelf Transition
37428004,Central Eastern Shelf Province
37428004,Central Eastern Shelf Transition
37272003,Tasmania Province
37272003,Bass Strait Shelf Province
37272003,Tasmanian Shelf Province
37435025,Timor Province
37435002,Northeast Shelf Transition
37206036,Western Bass Strait Shelf Transition
37206036,Bass Strait Shelf Province
37206036,Tasmanian Shelf Province
37206036,West Tasmania Transition
37206007,Southwest Shelf Province
37206008,Great Australian Bight Shelf Transition
37206008,Spencer Gulf Shelf Province
37206008,Western Bass Strait Shelf Transition
37206008,Bass Strait Shelf Province
37206008,Tasmanian Shelf Province
37206008,Southeast Shelf Transition
37206008,Central Eastern Shelf Province
37206031,Southwest Shelf Transition
37206031,Southwest Shelf Province
37206031,Great Australian Bight Shelf Transition
37206032,Southwest Shelf Province
37206009,Southwest Shelf Province
37206009,Great Australian Bight Shelf Transition
37206009,Spencer Gulf Shelf Province
37206009,Western Bass Strait Shelf Transition
37206009,Bass Strait Shelf Province
37206009,Tasmanian Shelf Province
37206009,Southeast Shelf Transition
37206009,Central Eastern Shelf Province
37206033,Southwest Shelf Province
37206033,Southeast Shelf Transition
37206034,Southwest Shelf Transition
37206034,Southwest Shelf Province
37206034,Great Australian Bight Shelf Transition
37206010,Spencer Gulf Shelf Province
37206010,Western Bass Strait Shelf Transition
37206010,Bass Strait Shelf Province
37206010,Tasmanian Shelf Province
37206010,Southeast Shelf Transition
37206010,Central Eastern Shelf Province
37206010,Central Eastern Shelf Transition
37206035,Bass Strait Shelf Province
37206035,Tasmanian Shelf Province
37206035,Southeast Shelf Transition
37206037,Norfolk Island Province
37055001,Northern Shelf Province
37055001,Northwest Shelf Transition
37055001,Northwest Shelf Province
37055001,Central Western Shelf Transition
37055001,Central Eastern Shelf Province
37055001,Central Eastern Shelf Transition
37055001,Northeast Shelf Province
37055001,Northeast Shelf Transition
37055002,Lord Howe Province
37055002,Northwest Shelf Province
37055002,Central Eastern Shelf Transition
37055002,Northeast Shelf Province
37055002,Northeast Shelf Transition
37381001,Central Western Shelf Province
37381001,Southwest Shelf Transition
37381001,Southwest Shelf Province
37381001,Great Australian Bight Shelf Transition
37381001,Spencer Gulf Shelf Province
37381001,Western Bass Strait Shelf Transition
37381001,Bass Strait Shelf Province
37381001,Tasmanian Shelf Province
37381001,Southeast Shelf Transition
37381001,Central Eastern Shelf Province
