"synonym","unacceptreason","aphiaid","scientific"
"Acanthopagrus bertha",NA,218588,"Acanthopagrus berda"
"Acanthopagrus calamara",NA,218588,"Acanthopagrus berda"
"Chrysophrys berda",NA,218588,"Acanthopagrus berda"
"Chrysophrys berda calamara",NA,218588,"Acanthopagrus berda"
"Chrysophrys calamara",NA,218588,"Acanthopagrus berda"
"Chrysophrys madagascariensis",NA,218588,"Acanthopagrus berda"
"Chrysophrys robinsoni",NA,218588,"Acanthopagrus berda"
"Mylio berda",NA,218588,"Acanthopagrus berda"
"Pagrus berda",NA,218588,"Acanthopagrus berda"
"Pagrus robinsoni",NA,218588,"Acanthopagrus berda"
"Sparus berda",NA,218588,"Acanthopagrus berda"
"Sparus calamara",NA,218588,"Acanthopagrus berda"
"Sparus hasta",NA,218588,"Acanthopagrus berda"
"Sparus madagascariensis",NA,218588,"Acanthopagrus berda"
"Chaetodon bifasciatus",NA,218589,"Acanthopagrus bifasciatus"
"Chrysophrys bifasciata",NA,218589,"Acanthopagrus bifasciatus"
"Chysophrys bifasciatus","senior synonym",218589,"Acanthopagrus bifasciatus"
"Holocentrus rabaji",NA,218589,"Acanthopagrus bifasciatus"
"Mylio bifasciatus",NA,218589,"Acanthopagrus bifasciatus"
"Sparus bifasciatus",NA,218589,"Acanthopagrus bifasciatus"
"Mylio butcheri",NA,279071,"Acanthopagrus butcheri"
"Labrus catenula","synonym",758011,"Acanthopagrus catenula"
"Sparus mylio","synonym",758011,"Acanthopagrus catenula"
"Acanthopagrus longispinnis",NA,313008,"Acanthopagrus datnia"
"Chrysophrys longispinnis",NA,313008,"Acanthopagrus datnia"
"Coius datnia",NA,313008,"Acanthopagrus datnia"
"Sparidentex datnia",NA,313008,"Acanthopagrus datnia"
"Sparus datnia","senior synonym",313008,"Acanthopagrus datnia"
"Sparus longispinnis",NA,313008,"Acanthopagrus datnia"
"Acanthopagros latus",NA,218587,"Acanthopagrus latus"
"Chrysophrys auripes",NA,218587,"Acanthopagrus latus"
"Chrysophrys datnia",NA,218587,"Acanthopagrus latus"
"Chrysophrys novaecaledoniae","ambiguous synonym",218587,"Acanthopagrus latus"
"Chrysophrys rubroptera",NA,218587,"Acanthopagrus latus"
"Chrysophrys xanthopoda",NA,218587,"Acanthopagrus latus"
"Mylio latus",NA,218587,"Acanthopagrus latus"
"Sparus chrysopterus",NA,218587,"Acanthopagrus latus"
"Sparus latus",NA,218587,"Acanthopagrus latus"
"Acanthopagrus morrisoni",NA,1577311,"Acanthopagrus morrisonae"
"Roughleyia palmaris",NA,279072,"Acanthopagrus palmaris"
"Acanthopagrus schlegeli","misspelling",293534,"Acanthopagrus schlegelii"
"Acanthopagrus schlegelii czerskii","subspecies not recognized",293534,"Acanthopagrus schlegelii"
"Acanthopagrus schlegelii schlegelii","subspecies not recognized",293534,"Acanthopagrus schlegelii"
"Acanthopagrus swinhonis czerskii",NA,293534,"Acanthopagrus schlegelii"
"Chrysophrys schlegelii",NA,293534,"Acanthopagrus schlegelii"
"Mylio macrocephalus",NA,293534,"Acanthopagrus schlegelii"
"Pagrus macrocephalus",NA,293534,"Acanthopagrus schlegelii"
"Sparus macrocephalus",NA,293534,"Acanthopagrus schlegelii"
"Sparus macrocephalus czerskii",NA,293534,"Acanthopagrus schlegelii"
"Sparus swinhonis czerskii",NA,293534,"Acanthopagrus schlegelii"
"Chrysophrys estuarius","synonym",313009,"Acanthopagrus vagus"
"Chrysophrys vagus","synonym",313009,"Acanthopagrus vagus"
"Pagrus caffer","synonym",313009,"Acanthopagrus vagus"
"Sparus vagus",NA,313009,"Acanthopagrus vagus"
"Acanthoclinus indicus",NA,218347,"Acanthoplesiops indicus"
"Neacanthopsis gracilentus",NA,1525064,"Acanthopsoides gracilentus"
"Acanthorhodeus asmussi sungariensis","junior synonym",1015529,"Acanthorhodeus chankaensis"
"Acanthorhodeus atranalis","synonym",1015529,"Acanthorhodeus chankaensis"
"Acanthorhodeus gracilis","synonym",1015529,"Acanthorhodeus chankaensis"
"Acanthorhodeus tokunagai",NA,1015529,"Acanthorhodeus chankaensis"
"Acanthorhodeus wangi","synonym",1015529,"Acanthorhodeus chankaensis"
"Acheilognathus bleekeri","junior synonym",1015529,"Acanthorhodeus chankaensis"
"Acheilognathus chankaensis",NA,1015529,"Acanthorhodeus chankaensis"
"Achilognathus chankaensis",NA,1015529,"Acanthorhodeus chankaensis"
"Devario chankaensis","synonym",1015529,"Acanthorhodeus chankaensis"
"Paracheilognathus bleekeri","synonym",1015529,"Acanthorhodeus chankaensis"
"Parachilognathus imberbis","synonym",1015529,"Acanthorhodeus chankaensis"
"Cocotropus dezwaani",NA,279482,"Acanthosphex leurynnis"
