level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Cnidaria	Corals	Stony corals	Massive			11290906
Cnidaria	Corals	Stony corals	Massive		Alive	11290906
Cnidaria	Corals	Stony corals	Massive		Recruit	11290906
Cnidaria	Corals	Stony corals	Massive		Bleached	11290906
Cnidaria	Corals	Stony corals	Massive		Dead	11290906
Cnidaria	Corals	Stony corals	Massive		Recently dead	11290906
Cnidaria	Corals	Stony corals	Solitary			11290901
Cnidaria	Corals	Stony corals	Solitary		Alive	11290901
Cnidaria	Corals	Stony corals	Solitary		Recruit	11290901
Cnidaria	Corals	Stony corals	Solitary		Bleached	11290901
Cnidaria	Corals	Stony corals	Solitary		Dead	11290901
Cnidaria	Corals	Stony corals	Solitary		Recently dead	11290901
Cnidaria	Corals	Stony corals	Staghorn			11290913
Cnidaria	Corals	Stony corals	Staghorn		Alive	11290913
Cnidaria	Corals	Stony corals	Staghorn		Recruit	11290913
Cnidaria	Corals	Stony corals	Staghorn		Bleached	11290913
Cnidaria	Corals	Stony corals	Staghorn		Dead	11290913
Cnidaria	Corals	Stony corals	Staghorn		Recently dead	11290913
Cnidaria	Corals	Stony corals	Sub-massive			11290905
Cnidaria	Corals	Stony corals	Sub-massive		Alive	11290905
Cnidaria	Corals	Stony corals	Sub-massive		Recruit	11290905
Cnidaria	Corals	Stony corals	Sub-massive		Bleached	11290905
Cnidaria	Corals	Stony corals	Sub-massive		Dead	11290905
Cnidaria	Corals	Stony corals	Sub-massive		Recently dead	11290905
Cnidaria	Corals	Stony corals	Tabulate			11290911
Cnidaria	Corals	Stony corals	Tabulate		Alive	11290911
Cnidaria	Corals	Stony corals	Tabulate		Recruit	11290911
Cnidaria	Corals	Stony corals	Tabulate		Bleached	11290911
Cnidaria	Corals	Stony corals	Tabulate		Dead	11290911
Cnidaria	Corals	Stony corals	Tabulate		Recently dead	11290911
Cnidaria	Corals					11168000
Cnidaria	Corals				Alive	11168000
Cnidaria	Corals				Recruit	11168000
Cnidaria	Corals				Bleached	11168000
Cnidaria	Corals				Dead	11168000
Cnidaria	Corals				Recently dead	11168000
Cnidaria	Hydrocorals	Branching				11077906
Cnidaria	Hydrocorals	Submassive / encrusting				11077907
Cnidaria	Hydrocorals					11077000
Cnidaria	Hydroids					11001000
Cnidaria	True anemones	Flytrap				11229901
Cnidaria	True anemones	Fourlobed				11229902
Cnidaria	True anemones	Other anemones				11229903
Cnidaria	True anemones					11229000
Cnidaria	Tube anemones					11164000
Cnidaria						11500000
Crustacea	Barnacles	Acorn				27500902
Crustacea	Barnacles	Stalked				27500901
Crustacea	Barnacles					27500000
Crustacea	Crabs	King crabs				28836000
Crustacea	Crabs	Porcelain crabs				28843000
Crustacea	Crabs	True crabs				28850000
Crustacea	Crabs					28000903
Crustacea	Hermit crabs	With anemones				28825903
Crustacea	Hermit crabs	With shell or stone home 				28825902
Crustacea	Hermit crabs					28825901
Crustacea	Lobsters	Rock lobsters				28820000
Crustacea	Lobsters	Slipper lobsters / bugs				28821000
